UF,doses_bebida_alcoolica,dirigiu_apos_beber,bebendo_demais,dias_semana_alcool
RO,3.195452541805651,3.393655238904129,1.8047369016187482,3.390102428804221
AC,1.0,4.8698563881241155,2.315638311276837,4.651588011630508
AM,2.0625352959677765,3.1898632770775475,1.3929749474750852,5.0
RR,1.2582032465307966,2.3918242889132397,1.8167438868460426,4.495622064596783
PA,1.9204530239877835,1.9587335680050908,1.1786418184017393,4.936185291582405
AP,1.3933222888859298,3.6241585025450176,1.911661232583113,4.772677892449755
TO,2.348432254300154,1.0,3.1537164256838874,3.12411943290005
MA,2.0626608054226496,1.1888543496868929,1.5405313048201204,4.750744971281195
PI,3.0435540398450422,1.7038842703489725,1.9473616036994983,4.8907221200314215
CE,2.615885200821566,2.1432301732505294,1.1046822668730603,4.484328756324394
RN,2.146055831020499,3.3711164583377693,1.0,4.152545896978271
PB,2.533825525551441,2.1279345625749944,1.7763519672436923,3.885139416983524
PE,3.20024308929087,4.470198675496688,1.8387956916019212,3.8206138946146666
AL,2.727392642141582,4.560227414719479,2.0376027987410286,4.669553584002253
SE,1.9729425819764863,1.979071078729449,1.3377339745478476,4.46305753932064
BA,2.953375457225235,3.06311681359386,2.2361173825435037,2.9286060209146676
MG,4.125655512147353,3.7948606099060167,3.1823689976279588,1.0
ES,3.987828036110291,4.470198675496688,3.7146174505980474,2.4832417969300105
RJ,3.6983104364634407,5.0,3.849553191783275,1.9873065385457482
SP,4.346283404533346,4.519074713179739,3.667545069012699,1.240797283168865
PR,4.675334864650758,4.182498443425596,4.428977072992824,1.8433693190230627
SC,4.7049628050944134,4.008531445940588,4.833371125290967,1.439219052507274
RS,5.0,4.918501853670902,5.0,2.636611209251962
MS,3.5605107889642347,2.94971330195621,3.9627510516724236,1.9925967051879772
MT,2.9429341632087023,2.4845769734745184,2.516663768274551,2.415259502143234
GO,3.1559923036061375,3.6037713218474496,2.9629240054445423,2.72355040112898
DF,3.3673286302917056,4.58020497356719,3.5464805095359737,3.8698606173176167
