UF,freq_exerc_fisico,tempo_exercicio,trajeto_a_pe_bicicleta,horas_eletronicos
RO,1.361387492041859,2.241770798512352,4.050406058425743,3.8207840540000113
AC,1.2784438743759572,2.9852947837715247,3.983864215409104,1.4784156468231777
AM,1.499269754738335,3.6646892956138704,1.9133861853440952,2.130725843061366
RR,3.5463049637025224,2.8903923789986,4.323861810352573,1.051905841778988
PA,1.9355808920265352,1.7699045683231232,2.31408951860593,1.7206151361254745
AP,5.0,5.0,4.969115177886714,2.95905620723835
TO,3.8997270362325787,2.2080906376938687,3.651702161369296,2.3023090280946374
MA,2.9958711493425216,1.2405854624721095,1.886719343051226,1.3803660405402045
PI,3.427427804253348,1.4137587619855103,1.2353387002216492,2.696711684547774
CE,4.579523121717951,1.0,2.6679175607783847,1.0
RN,4.520598868967876,1.9077617129078954,2.332671681260676,2.81003163090907
PB,3.8310517093005823,1.2814021573329668,1.7032465176435836,2.224772858550976
PE,3.8761325175774672,1.3747027252727062,2.876628684282209,2.292655294460514
AL,4.310626343994788,1.48627251354161,3.1111149216217,2.367092119803813
SE,3.8749464144520824,1.9111106778133018,1.0,2.1023465115887543
BA,3.943896497959811,2.306655743578272,2.5167831424694667,2.4435370000021095
MG,2.6369884762254934,1.9209318414349925,2.9185006089015193,3.2287442471851997
ES,3.364983938712136,3.139528960875626,2.743081643063237,3.5610758205477304
RJ,3.0133659640058705,2.0973410946198827,1.4343232740907432,2.554326564020974
SP,2.6014163458155526,3.563835045946119,2.8476541676608846,4.3699515116252625
PR,2.493999499682334,2.504720954266183,2.439702928680143,3.654140169040454
SC,1.3083295488469273,2.679195878110823,3.034900908775608,4.868440264761178
RS,1.0,2.109328108071698,3.3339114513129786,4.235419565223534
MS,3.0100554613266395,2.4947185029933916,2.58116098792798,3.64079136452865
MT,2.9274214410919948,1.966136665045887,4.456127737122358,4.682540956150798
GO,2.5409001800810023,2.2716186141578674,5.0,3.761783100826548
DF,4.543629039074805,4.826861239451061,3.0732889230530334,5.0
