UF,1.0,2.0,3.0,4.0,5.0
AC,527,51,12,0,6
AL,725,113,20,5,3
AM,850,107,14,2,7
AP,472,64,12,1,2
BA,1467,158,41,6,7
CE,1129,139,24,4,2
DF,902,100,15,1,6
ES,1462,113,17,0,4
GO,998,83,16,2,6
MA,1482,165,41,6,13
MG,2052,164,30,7,11
MS,1228,87,10,0,2
MT,916,63,18,2,4
PA,1062,146,35,8,2
PB,928,129,32,2,4
PE,1253,136,36,4,14
PI,887,104,24,2,2
PR,1560,90,12,4,5
RJ,1853,129,11,7,9
RN,841,125,31,2,7
RO,702,50,12,1,2
RR,675,104,18,2,4
RS,1851,83,11,2,3
SC,1696,72,20,4,0
SE,892,159,15,6,5
SP,2587,172,32,7,11
TO,640,69,11,3,3
